FUNC __main__.load_dataset 181.6055 1734078134.3382 206.1914 1734078140.0732 0
FUNC __main__.load_lii 206.1914 1734078140.0792 270.6758 1734078140.6472 0
FUNC __main__.run 270.6758 1734078140.6532 399.8516 1734078159.8243 0
CMDLINE C:\dev\RU\IR\IR_group_18\venv\Scripts\python.exe collect_data.py
MEM 3.250000 1734078131.7396
MEM 93.871094 1734078132.7498
MEM 163.304688 1734078133.7570
MEM 190.117188 1734078134.7652
MEM 190.191406 1734078135.7730
MEM 190.218750 1734078136.7810
MEM 190.546875 1734078137.7872
MEM 190.820312 1734078138.7942
MEM 191.234375 1734078139.8012
MEM 284.156250 1734078140.8092
MEM 335.933594 1734078141.8170
MEM 399.265625 1734078142.8266
MEM 403.039062 1734078143.8341
MEM 403.222656 1734078144.8419
MEM 403.226562 1734078145.8494
MEM 403.238281 1734078146.8574
MEM 403.238281 1734078147.8640
MEM 403.246094 1734078148.8710
MEM 403.246094 1734078149.8780
MEM 403.246094 1734078150.8850
MEM 403.257812 1734078151.8924
MEM 403.253906 1734078152.8999
MEM 403.265625 1734078153.9069
MEM 403.265625 1734078154.9175
MEM 403.265625 1734078155.9243
MEM 403.265625 1734078156.9325
MEM 403.265625 1734078157.9398
MEM 403.265625 1734078158.9488
MEM 403.300781 1734078159.9588
