FUNC __main__.load_dataset 349.4023 1734003081.6635 373.8047 1734003087.2290 0
FUNC __main__.load_dataset 373.8047 1734003087.2414 389.5898 1734003092.8010 1
FUNC __main__.load_ii 373.8047 1734003087.2354 450.5312 1734003093.6909 0
FUNC __main__.run 451.0664 1734003093.7289 579.3828 1734003117.3871 0
FUNC __main__.load_bm25 450.5312 1734003093.6969 451.0664 1734003093.7209 0
CMDLINE C:\dev\RU\IR\IR_group_18\venv\Scripts\python.exe .\pyterrier_collect_data.py
MEM 3.292969 1734003074.9750
MEM 106.015625 1734003075.9830
MEM 155.425781 1734003076.9900
MEM 190.269531 1734003077.9978
MEM 210.781250 1734003079.0049
MEM 312.335938 1734003080.0131
MEM 329.574219 1734003081.0211
MEM 359.699219 1734003082.0285
MEM 359.910156 1734003083.0351
MEM 360.398438 1734003084.0421
MEM 360.960938 1734003085.0491
MEM 361.425781 1734003086.0558
MEM 361.847656 1734003087.0628
MEM 381.363281 1734003088.0700
MEM 381.378906 1734003089.0766
MEM 381.492188 1734003090.0840
MEM 381.515625 1734003091.0909
MEM 381.792969 1734003092.0979
MEM 393.085938 1734003093.1057
MEM 466.390625 1734003094.1130
MEM 490.992188 1734003095.1205
MEM 494.750000 1734003096.1286
MEM 496.609375 1734003097.1357
MEM 498.335938 1734003098.1463
MEM 492.523438 1734003099.1534
MEM 503.714844 1734003100.1629
MEM 522.425781 1734003101.1709
MEM 531.382812 1734003102.1789
MEM 531.402344 1734003103.1864
MEM 521.195312 1734003104.1934
MEM 535.355469 1734003105.2004
MEM 535.375000 1734003106.2083
MEM 535.441406 1734003107.2153
MEM 536.460938 1734003108.2245
MEM 533.246094 1734003109.2315
MEM 533.683594 1734003110.2383
MEM 538.363281 1734003111.2466
MEM 550.191406 1734003112.2536
MEM 550.199219 1734003113.2616
MEM 545.363281 1734003114.2686
MEM 556.515625 1734003115.2756
MEM 569.359375 1734003116.2825
MEM 582.476562 1734003117.2901
